Carnet,Carrera,Plan,IdCampus,Sexo,AnioIngreso,CicloIngreso,InstitucionBach,TieneBeca,PorcentajeBeca_Promedio,MateriasInscritas_C1,MateriasAprobadas_C1,MateriasReprobadas_C1,TasaAprobacion_C1,PromedioCiclo_C1,MateriasInscritas_C2,MateriasAprobadas_C2,MateriasReprobadas_C2,TasaAprobacion_C2,PromedioCiclo_C2,TotalMateriasInscritas_Anio1,TotalMateriasAprobadas_Anio1,TotalMateriasReprobadas_Anio1,TasaAprobacion_Anio1,PromedioGeneral_Anio1,AvanceCarrera_FinAnio1,PAES_Score,CantInsolvencias_Recurrentes,CantRetirosParciales,CantRetirosTotales,CantCambiosCarrera,Ind_PAES,Ind_CUM,Ind_Avance,Ind_Solvencia,Ind_RetiroParcial,Ind_RetiroTotal,Ind_CambioCarrera,Ind_Reprobacion,Ind_BrechaDesercion,IRE_Total,Deserto
AA172255  ,920,2023,9,102302,2023,2,246,0,NULL,4,2,1,0.5,3.71,4,2,2,0.5,4.9,8,4,3,0.5,4.3,11.2,7.05,9,1,0,1,0,1,0,1,0,0,1,0,0,3,0
AA200011  ,409,2019,1,102301,2020,1,185,0,NULL,4,4,0,1,7.34,4,4,0,1,7.64,8,8,0,1,7.49,100,7.84,5,0,0,0,0,0,0,1,0,0,0,0,0,1,0
AA200050  ,404,2019,1,102301,2020,1,471,0,NULL,5,1,0,0.2,1.66,NULL,NULL,NULL,NULL,NULL,5,1,0,0.2,1.66,3.8,3.25,3,4,0,0,1,1,1,1,1,0,0,0,0,5,1
AA200098  ,413,2016,1,102302,2020,1,142,0,NULL,4,3,0,0.75,5.12,4,4,0,1,8.33,8,7,0,0.875,6.72,56.6,3.92,2,1,0,0,1,0,0,1,0,0,0,0,0,2,0
AA200124  ,413,2016,2,102302,2020,1,337,0,NULL,5,5,0,1,8.77,5,5,0,1,8.51,10,10,0,1,8.64,48.1,7.66,4,0,0,1,0,0,0,1,0,0,1,0,0,2,0
AA200176  ,404,2019,1,102301,2020,1,301,0,NULL,5,4,0,0.8,6.54,NULL,NULL,NULL,NULL,NULL,5,4,0,0.8,6.54,19.2,7.27,3,2,0,1,0,0,0,1,1,0,1,0,0,3,0
AA200195  ,202,2016,1,102301,2020,1,241,0,NULL,5,5,0,1,8.33,5,5,0,1,8.68,10,10,0,1,8.51,100,7.99,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0
AA200333  ,209,2019,1,102302,2020,1,246,0,NULL,5,5,0,1,7.48,4,4,0,1,7.47,9,9,0,1,7.47,100,7.53,5,0,0,0,0,0,0,1,0,0,0,0,0,1,0
AA200484  ,105,2017,1,102302,2020,1,309,0,NULL,4,2,2,0.5,5.9,2,1,1,0.5,5.85,6,3,3,0.5,5.87,19.8,7.95,5,0,0,0,0,1,0,1,0,0,0,0,0,2,0
AA200509  ,104,2017,1,102301,2020,1,153,0,NULL,4,3,1,0.75,7.81,5,4,0,0.8,6.57,9,7,1,0.7778,7.19,28.6,7.91,4,1,0,0,0,0,0,1,0,0,0,0,0,1,0
AA200604  ,211,2019,1,102302,2020,1,258,0,NULL,5,5,0,1,9.05,4,4,0,1,9.44,9,9,0,1,9.25,100,8.93,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0
AA200676  ,104,2017,1,102301,2020,1,396,0,NULL,4,4,0,1,8.08,5,4,0,0.8,6.33,9,8,0,0.8889,7.21,84.5,7.63,3,1,0,0,0,0,0,1,0,0,0,0,0,1,0
AA200692  ,103,2017,1,102301,2020,1,279,0,NULL,4,1,1,0.25,2.63,4,3,1,0.75,6.63,8,4,2,0.5,4.63,9.7,8.42,3,2,0,0,0,1,1,1,1,0,0,0,0,4,0
AA200976  ,106,2017,1,102302,2020,1,179,0,NULL,4,4,0,1,8.13,4,4,0,1,7.3,8,8,0,1,7.72,100,8.6,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0
AA201111  ,206,2018,1,102302,2020,1,384,0,NULL,3,3,0,1,7.08,3,3,0,1,8.21,6,6,0,1,7.64,100,6.21,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0
AA201149  ,303,2016,1,102301,2020,1,445,0,NULL,5,3,1,0.6,5.56,4,4,0,1,7.19,9,7,1,0.7778,6.37,70.2,8.03,2,1,0,0,0,1,0,1,0,0,0,0,0,2,0
AA201171  ,702,2014,1,102302,2020,1,162,0,NULL,5,4,1,0.8,7.53,5,4,0,0.8,6.45,10,8,1,0.8,6.99,23.7,8.23,4,1,0,0,0,0,0,1,0,0,0,0,0,1,0
AA201174  ,106,2017,1,102301,2020,1,391,0,NULL,3,1,1,0.3333,4.68,NULL,NULL,NULL,NULL,NULL,3,1,1,0.3333,4.68,7.7,7.78,3,1,0,1,0,1,1,1,0,0,1,0,0,4,0
AA201227  ,209,2019,1,102302,2020,1,488,0,NULL,5,5,0,1,8.48,4,4,0,1,8.49,9,9,0,1,8.48,100,7.52,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0
AA201235  ,413,2016,1,102302,2020,1,250,0,NULL,5,4,0,0.8,5.82,5,3,2,0.6,5.82,10,7,2,0.7,5.82,38,6.98,2,1,0,0,0,1,0,1,0,0,0,0,0,2,1
AA201244  ,413,2016,1,102301,2020,1,229,1,50,4,4,0,1,8.04,4,4,0,1,8.04,8,8,0,1,8.04,47.6,7.58,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0
AA201246  ,402,2019,1,102301,2020,1,502,0,NULL,4,0,3,0,2.48,NULL,NULL,NULL,NULL,NULL,4,0,3,0,2.48,0,8.01,2,1,0,1,0,1,1,1,0,0,1,0,0,4,0
AA201435  ,209,2019,1,102302,2020,1,23,1,50,5,5,0,1,8.16,5,5,0,1,8.76,10,10,0,1,8.46,100,8.04,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0
AA201467  ,209,2019,1,102302,2020,1,397,0,NULL,4,2,2,0.5,6.76,NULL,NULL,NULL,NULL,NULL,4,2,2,0.5,6.76,5,6,2,0,0,0,0,0,1,1,0,0,0,0,0,2,1
